user,tweet
Annihilation of Caste,"@anilkum04050305 Never instead he is breaking the Hindu Muslim narrative, bcoz he said that dalits, adivasis and Ba… https://t.co/rCX2GEfz1i"
Harry Potter,"@VinodSharmaView @ajitanjum This man was part of the student mob

Why didn't he fire when he was part of mob ?
He w… https://t.co/gLEDmkB8nS"
Kalaignar Seithigal,"“விடுதலையா... இந்தா எடுத்துக்கோ” : CAA-வுக்கு எதிராக போராட்டம் நடத்திய மாணவர்கள் மீது துப்பாக்கிச் சூடு!

#Jamia… https://t.co/jr1DIFxhnd"
Mohammad Abrar Khan,ये वही #दिल्ली_पुलिस है जिसने जामिया के निहत्थे स्टूडेंट्स और CAA विरोधी रैलियों में आये प्रदर्शकारियों को लाठियों… https://t.co/RMAtrerG06
SwamiChidanandSaraswati,"अगर मुस्लिम, भारतीय कम्पनी के प्रोडक्ट जैसे कि बाबा रामदेव,अम्बानी का बहिष्कार कर सकते हे तो आज से और अभी से मुस्लि… https://t.co/9A6HXzDpH7"
Mayank Intwala,@SHASHANKSVERMA @NizzInd @ANI Jahil hum nahi jahil wo he jo CAA ka bina pade virodh kar rahe he...
Jitendra Singh Rathore,"थोड़ा हंस भी लो।
#CAA_NRC_NPR https://t.co/xCSmia1klq"
ℓσgι¢αℓ вαи∂α,@caa_nrc_best @swetasamadhiya @iPoojaGoswami @Sanchitastic @Shubham21ee @HimanshiKunwar1 @Lil_MissTrolls… https://t.co/OcCsflAi1L
sorin furcoi,Gunman fires at anti-#CAA protest rally in #Delhi @AJENews  https://t.co/cs48Yjpyuy
UTKARSH SHASHWAT,"Shaheen bagh protesters shouting ~ hum leke rkhenge azaadi, CAA se azaadi, NRC se azaadi.... Media quoting them as… https://t.co/TZQ6P9swZl"
saeed khan,इन तस्वीरों को ध्यान से देखिए नफ़रत की सोच में अंधा होकर आजाद भारत के पहले आतंकवादी नाथूराम गोडसे ने 72 साल पहले इ… https://t.co/bOxRbn6GqQ
आदियोगी सजन भारद्वाजः,आज दिल्ली में बसंत पंचमी के शुभअवसर पर यह कार्य प्रारम्भ हो गया है जामिया मिलिया के छात्र एक CAA विरोधी प्रदर्शन ले… https://t.co/OdG51zxCGN
अरुण वत्स भारतीय 🚩🇮🇳🚩,@AneelaKh @RanaAyyub To kya ja raha hai tumhare baap Dada Ka Jo 2 mahine se desh ko ransom pe rakha hai.. abhi lohd… https://t.co/r2PqQ2GiTa
Dr Parul Dwivedi,@ZeeNews About CAA https://t.co/xMRzZ25ouo
India First 🇮🇳,"@MajorPoonia @PMOIndia @AmitShah Sir, I think this drama over CAA will continue ONLY till you bring another politic… https://t.co/V84LSF2ldB"
Aaryan Aarya,पूछना ये था कि अमेरिका में CAA का जो विरोध हो रहा है उसका पेमेंट डॉलर में होता है या रुपये में जस्ट पुछिंग… https://t.co/qWnUzEZtDM
🇮🇳 Indrani_se_nani 🇮🇳,@Logical_Rai1 @swetasamadhiya @iPoojaGoswami @Sanchitastic @Shubham21ee @HimanshiKunwar1 @Lil_MissTrolls… https://t.co/Upv1vIRhJ9
Awadhesh Kumar Singh,Home Minister Amit Shah jee जब रामदेव बाबा के आंदोलन पर पुलिस बल का प्रयोग करना अगर उचित है तो क्या देश में CAA के… https://t.co/ETy1zyEhkB
🍉Mar,@Hrjstar Caa menang caaa 😭
Karnika,#Jamia live updates: https://t.co/vobwfH3zCE
@l-Miher Khan,"जामिया यूनिवर्सिटी के पास हो रहे CAA के खिलाफ प्रदर्शन में बंदूक लेकर घुसा युवक, फायरिंग कर बोला- 'ये लो आजादी'- दे… https://t.co/gu7Jm9VMZH"
Neetika Mahindrakar,@GoofyOlives @caa_nrc_best @dharmicverangna @coffee_lines @Hindustaan_Mera @AimaraChopra @QueenPunjab… https://t.co/q3wYHHSMi1
Arif Shaik,Withdraw CAA NRC NPR… its an international shame  #WorldAgainstCAA_NRC_NPR
👒 Ritu Singh 👒,"#Jamia 🤷
सवाल है कि पुलिस की भारी मौजूदगी के बावजूद वो हमलावर हथियार लेकर वहां कैसे पहुंचा ?
कैसे उसने पुलिस के साम… https://t.co/WJCmeV9qR7"
Sonu Kr. Jha,"आप खुश हैं, क्योंकि जम्मू-कश्मीर से धारा 370 हटा दिया गया है 
लेकिन अब तो पूरे हिंदुस्तान को ही कश्मीर बना दिया गया… https://t.co/ub5EmXH63T"
