user,tweet
ॐ 🇱🇺 Santosh Panday 🇪🇺 ~ 🚩🚩,@i4army AAP (means ‘monkey’ in Dutch language) .. China 🇨🇳 can get them for FREE from India .. DELHI is full with A… https://t.co/kEa2zuD6NJ
GAURAV SINGH,"Delhi won, India still has some ways to go. https://t.co/jI1AAWE9zA"
Rishabh Arya,"Congratulations Delhi walo ko 
congrats Arvind kegriwal g ko 
 🐯🐯tiger is back👏👏👏11/02/2020. .."
K V Subba Reddy,@PChidambaram_IN So you are celebrating your own party defeat in Delhi. You are really true congress leader
SH M,@KoYiKkoDaNs @PCChackoOffice In the delhi. Nobody can beat @ArvindKejriwal in Assembly election. In loksabha electi… https://t.co/ZbsI7wjbXe
S.B Prasad,@ArvindKejriwal congratulations sir on your fabulous and well deserving win... please prepare Delhi to fight pollut… https://t.co/ygBH07q5QU
Adil Khan,"Delhi voted again for DIL WALE and all the Dallas of Delhi lost 

@narendramodi @AmitShah @ManojTiwariMP @INCIndia 

#Delhi #Kejriwal"
Rajesh Kumar #20xZoom,"AAP sweeps Delhi for 2nd time; BJP gains, Congress 'decimated' again https://t.co/9T0LV7CJjq"
S S,"@Vladimi49980395 Just not delhi...Look at big picture, indians gave a beffiting reply to pakistanis and and brought them on the roads."
ℤ𝕚𝕒 𝕌𝕝𝕙𝕒𝕢™,"@AamAadmiParty @ArvindKejriwal @msisodia Amit Shah asked the Delhi people
""Vote kisko diya?""

all replied..""AAP"" ko😂"
Aman Thakur,"@iSinghApurva Don't say sorry....
Logo ko asliyat pata chalegi ab
Accha hai jo hota h acche ke liye hota hai or del… https://t.co/ZKD7kn0QIv"
Arun Sharma,@VishalDadlani Delhi ne hi LS 2019 me aap k muh pe ks k thappad mara tha...yaad h ya bhool gya ganje? Agr bhool gya… https://t.co/9MqDEXrQeT
Prabhakar Kumar,@ArvindKejriwal congratulations sir for your hatrick victory in Delhi election 2020. This is my small suggestion th… https://t.co/poibso1bKu
Er.jp.verma 🇮🇳🚩🙏🙏😘😍,@ReallySwara Love you Delhi wale phir se unga! Karne ke liye 😍
crk,"@LWolf303 @sweetspottrader Ok, how about this.. 
The Public-people of Delhi has seen/evaluated Cong,BJP,AAP..
where… https://t.co/Ag47s4WY4u"
Sruthijith,You don’t badmouth biryani and hope to win an election in Delhi. That’s my hot take.
A Shanmugam A Shanmu,A man who has had no political career and background but only resigned IT officer post for Public life stood impecc… https://t.co/SOlyn5n9xI
NYK Express,delhi election result 2020: मुफ्त की घोषणाओं को भूली BJP? दिल्ली चुनाव को अनिल विज ने 'मुफ्तखोरी की जीत' बताया - de… https://t.co/coGBzFQzm3
ΣL ∇ΣRDUGΩ,I thought the average Exit Polls on Delhi were right. I was preparing my AK-47 punchline ready. But now I can't. AK… https://t.co/wdMzkQv1AN
Jagdish,#BJP4Delhi I would think BJP need to bring Gautam Gambhir as head of DELHI BJP to strengthen its command in Delhi. @AmitShah @PMOIndia
Ashish K Singh (ABP News),CM @ArvindKejriwal to Delhi now seems to be is what #JyotiBasu was to Bengal once...Just unbeatable!
#LageRahoKejriwal,Finally she got what she deserves..Now want you to see as education minister in delhi govt. https://t.co/iwYHJj7ksa
davidrieff,"READ: AAP emerges victorious in seats that saw anti-CAA protests

https://t.co/UBqSCqoCD9

Shared by The IndianExpr… https://t.co/CuiMGif7qC"
અક્ષય,"@boyplunger7 @AshDubey_ lol GDP growth was over 8% when BJP lost Bihar, Delhi in 2015. Bengal, Kerala, TN in 2016.… https://t.co/RC0di6A1DH"
Isha,"#IndianRailways @RailwaySeva @eCateringIRCTC @RailMinIndia 
My friend is traveling from Mumbai to New Delhi via tra… https://t.co/dVpWQ6jBGJ"
Vijender Gupta,Congratulations to @ArvindKejriwal ji on his party’s grand victory in the Delhi assembly elections. People of Delhi… https://t.co/VkEvZyFmkW
brtraM meenA,@Faizz634 Bihar UP main wo hi chalega jo Delhi main fail hua hain
Shadab Siddiqui,#DELHI: दिल्ली में कांग्रेस की पिछले बार से बड़ी दुर्गति....इस बार भी नहीं जीत पाई एक भी सीट....वोट शेयर 10 से घटकर… https://t.co/pshbZXUAO1
Nizam Tanwar,"Meanwhile Delhi to #BJP
#AamAadmiParty
#ResultsOnDelhi
#ManojTiwari Bagga
#DelhiElection2020
#DelhiElectionResults… https://t.co/Iz9Z7ueLQw"
ExpressChannel,"@ysjagan @YSRCParty @VSReddy_MP @ncbn Arvind promised free power,water,housing,transport etc to Delhi voters,where… https://t.co/exOqVLA2oR"
Surender Singh Rathore,Congratulations to AAP and Shri @ArvindKejriwal Ji for the victory in the Delhi Assembly Elections.
Indian At_work,"@Anirudh_Astro Sir, but u predicted that we are going to lose something big..may be it was this hope of Bjp coming power in Delhi!!"
BASIT FAITH,"The coming to power of AAP in Delhi could trigger terror &amp; 
violence  in the North of India and may be even in Delh… https://t.co/wGqEm4wk91"
Republic,#VadrasFinishCongress | The people of Delhi have shown it to the entire nation that polarisation will not work. The… https://t.co/qyP7I8XyMY
shafi raza,"Ab desh,army or dharm ko bihar me khatra hai..be careful..#Delhi #corruptbjp"
Satish Suresh,"@ShilpiSinghINC Samajh nahi aa raha congress waale itne khush kyo ho rahe hai, are madam, delhi congress mukt ho ga… https://t.co/dDygQRT16O"
Vijay Mathura Dutt Joshi,# Congrats to third time winner Delhi CM Shri Arvind Kejriwal !! https://t.co/vBNrfULei3
ABHIJIT NAIR 🏏🇦🇺,"Heaps and heaps to do for Congress in Delhi !
if they wish to come back in state govt. there"
Ravi Shankar Jandhyala,"Someone is totally confused...
He asked the people of Delhi 
_""Vote kisko diya?""_

And they all replied...
*""AAP KO… https://t.co/t6vk63dT0n"
Rahul cheble,"@ArvindKejriwal The Best CM in India,He has done Remarkable work in education and Health as well as in Public secto… https://t.co/GdZ7vi3xcZ"
Junaid Ali LIAQUAT,"#Kejriwal ’s #AAP routs #Modi ’s #BJP in #Delhi polls 
#India #Pakistan #Kashmir 
https://t.co/iwCQRaaUJK via @arynewsofficial"
Kallapiran S Iyengar,I think @INCIndia had a long yearning that post independence sacrifice tag was missing.Probably in some of their mi… https://t.co/OxAIBMzBYQ
Ruben Mascarenhas,"What a spectacular day it has been!

Delhi election results are a vindication at so many levels! 

We fought the go… https://t.co/aUOfwXUb7w"
Bandla,@narendramodi @ArvindKejriwal @narendramodi  ji ... May be Election Comission  used the normal EVM machines for Del… https://t.co/no3Z6CIRU2
pramod padhan,@Amritapandeyy Delhi may sabsey bade bhig mangay rehetay hey or to or sab party ho ya neta apni apni jeb or Kurchi… https://t.co/6i7dY0rati
जिग्नेश गांधी,Absolutely Delhi. https://t.co/a6gaUqVUsG
Mohit kumar,"असल मुददो को मुफ्तखोरी का नाम देकर दिल्ली वालों को खूब बदनाम किया जा रहा है..
#Delhi 
#DelhiElectionresults2020 
#"
sandeep kumar,"@republic Delhi Elections: 'Nothing Shocking about Congress' loss,' says Sandeep Dikshit
He is right @INCIndia new they were 0"
Rohan,@girirajsinghbjp Sir Aacha huva Aap Delhi me koi relly me nahe aaye
AashveerReddy,"@ysjagan @AamAadmiParty @ArvindKejriwal Our cm @ysjagan 86.28 %
Delhi cm @aravindkejriwal  88.57%

Please continue… https://t.co/0m4CDpNLTr"
Anand / ஆனந்த்,"Hatred begets hatred.

https://t.co/NBn09qTxuQ"
Nizam Tanwar,"Meanwhile Delhi to #BJP
#AamAadmiParty
#ResultsOnDelhi
#ManojTiwari Bagga
#DelhiElection2020
#DelhiElectionResults… https://t.co/1L28jWRqGE"
