user,tweet
Capt Pankaj Sharma,"PM rallies in Jharkhand and elections lost. गुमला, जमशेदपुर पूर्वी और पश्चिमी, Barhi.
Delhi Won 1 lost 1.… https://t.co/Rc8MHhwnsM"
Grumpy,@maggie_delhi WORLD AIDS DAY per bhi AIDS Kahan hota hai ?
Dr Ashish Kumar 🇮🇳,Why Delhi-Mumbai Expressway was not highlighted 1 week ago by the BJP IT cell when Delhi was about to go for polls?… https://t.co/X4xlxsIAoZ
JevSobs,"#HowMuchFree inspite of giving freebies, the Delhi Govt makes a profit of 500 Cr . Isn’t it commendable?"
newson10,"दिल्ली में रिंकिया के पापा बने जश्न के पात्र | Delhi Celebration | Rinkiya ke Papa
https://t.co/vKwiiSQ8eY

@rinkiyakepapa @delhicele"
Parvez Ali,@dtptraffic dear Delhi traffic police ye mera challan 21 Dec 2019 ko hua tha jo aaj tak pending hai na to main ise… https://t.co/e3LuyII4gZ
Independent Voice,"Excited to hear #AmitShahAtArth live at Arth - A Culture Fest. Jawaharlal Nehru Stadium, Delhi | 21-23 Feb, 2020 Re… https://t.co/bj9fXksrmR"
Rahul kumar jha,@aajtak We can't conclude any thing from delhi election for #Biharelection2020 because bihar's politics is totally… https://t.co/8negHVD97Y
S_Parikh,@republic This cartoon is back campaigning for @BJP4India 😂 in spite of his senseless campaigning delhi people saw… https://t.co/a4HDHcXKj0
Arif Khan,@umashankarsingh I think it's Delhi
'BORING' Vera Budweiser,"@aireyys God will keep u safe..  the weather has been like that for the past 4 days... including  Senegal, South Af… https://t.co/QAVZJoFNi6"
HINDU,@tehseenp @SadhviPragya_MP You should be hanging your head in shame after the election results in delhi.. zero afte… https://t.co/u49tahi7Ap
Natasha,@uttampatel Haan chutie woh scooty aur Rs.2 lac pe nai bike.
Aadi yadav,"@SpokespersonECI @CeodelhiOffice Sir, When will be the MCC expired for Delhi Assembly election?"
Donna Dettrick,"India's ruling party sees likely defeat in New Delhi elections
https://t.co/ZGMMdaL0UF"
RAMESH,"""No Leader To Project"": Kapil Sibal After Congress' Delhi Humiliation : Zero Brain_Zero loss Idiot Sibal?"
Dr. VM,@AUThackeray @ArvindKejriwal @AamAadmiParty @ShivSena too fought in Delhi elections. Now don't tell me that you wer… https://t.co/RBPKYWyQX5
Bibhu Prasad Rout,@pcsarangi @BJP4Odisha @CMO_Odisha @Naveen_Odisha @minmsme @narendramodi Sir one request to you that we means bjp s… https://t.co/sAMODSzhmA
Zabe Zee WhiteField,Congratulations Delhi Cm @ArvindKejriwal ji 🎉🎂💐💐💐💐
Krishna Dev Pandey,"NBT: जानें किसने कहा, 'दिल्ली के सभी स्कूलों, मदरसों में हनुमान चालीसा पढ़ाएं केजरीवाल' https://t.co/oBEHY2oxYW"
madan mohan singh,I always had a very low opinion about the people of Delhi.They can be easily sold out for a few doles. How can Delh… https://t.co/ZDcBxPEOAt
N@VI🇬🇧🇦🇫(shehnaaz💝),@justvoot Aam banda  Delhi ch kil la gya ohhhhhhhh #BB13OnVoot #AsliFans love u  #ShehnazKeAsliFans
Jitendra Likhite,"It will be very interesting hot Delhi CM,will manage freebies,in immidiet future"
